Placement_ID|placement_name|alpha|beta|max_x_val|max_y_val|recommended_weekly_spend|calc_type|n
203326916|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBRESPONSIVEM3554HTTF|2943.15259633|0.0014307216966|2949.07|2891.0|427.63|0|6
212275280|INT_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_PSBS_BEH_NONE_NONE_NONE_NTL_NONE_INTERSTF3554ETAT(PM7197)|3286.8|0.00111111353807|1612.58|2739.0|424.03|3|3
203338431|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBRESPONSIVEM3554HHI|2904.66544018|0.00145999688557|2891.45|2880.0|423.94|0|5
203335728|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBRESPONSIVEM3554HENTERTAIN|2961.68644667|0.00131630223162|2938.81|2951.0|407.97|0|5
151300330|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_QSA_DEMO_NONE_NONE_NONE_NTL_NONE_MOBDISPLAYHTTFROTINTER|22510.8|0.000105748870136|11841.62|18759.0|392.37|3|8
203805904|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_V_AQS_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554HHI|3540.53143266|0.000920588696699|4141.21|3536.0|386.0|0|5
203819616|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_V_AQS_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554HTTF|3440.03562204|0.000939065140678|4159.05|3428.0|368.83|0|5
212375889|BAN_PANDORA_DIS_MBA_300X250_300X250_DCM_V_PSBS_NONE_NONE_NONE_NONE_NTL_NONE_DISPLAYM3554(PM718W)|4929.6|0.00056012788049|3198.84|4108.0|340.14|3|4
206825475|BAN_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_DISPLAYF3554HEESTVACGSMPBROTINTER(PKGS24)|2895.6|0.00113474601202|1154.92|2413.0|322.2|3|3
206763698|BAN_PANDORA_DIS_MBA_1X1_750X1100_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_DISPLAYF3554ETATROTINTER(PKGS23)|2841.6|0.00114737330046|1175.11|2368.0|311.98|3|5
